make,body-style,wheel-base,engine-size,horsepower,peak-rpm,highway-mpg,price
ferrari,convertible,88.6,130,111,5000,27,113495
alfa-romero,convertible,88.6,130,111,5000,27,13495
alfa-romero,convertible,88.6,130,111,5000,27,16500
alfa-romero,hatchback,94.5,152,154,5000,26,16500
audi,sedan,99.8,109,102,5500,30,13950
audi,sedan,99.4,136,115,5500,22,17450
audi,sedan,99.8,136,110,5500,25,15250
audi,sedan,105.8,136,110,5500,25,17710
audi,wagon,105.8,136,110,5500,25,18920
audi,sedan,105.8,131,140,5500,20,23875
audi,hatchback,99.5,131,160,5500,22,34587
bmw,sedan,101.2,108,101,5800,29,16430
bmw,sedan,101.2,108,101,5800,29,16925
bmw,sedan,101.2,164,121,4250,28,20970
bmw,sedan,101.2,164,121,4250,28,21105
bmw,sedan,103.5,164,121,4250,25,24565
bmw,sedan,103.5,209,182,5400,22,30760
bmw,sedan,103.5,209,182,5400,22,41315
bmw,sedan,110.0,209,182,5400,20,36880
chevrolet,hatchback,88.4,61,48,5100,53,5151
chevrolet,hatchback,94.5,90,70,5400,43,6295
chevrolet,sedan,94.5,90,70,5400,43,6575
dodge,hatchback,93.7,90,68,5500,41,5572
dodge,hatchback,93.7,90,68,5500,38,6377
dodge,hatchback,93.7,98,102,5500,30,7957
dodge,hatchback,93.7,90,68,5500,38,6229
dodge,sedan,93.7,90,68,5500,38,6692
dodge,sedan,93.7,90,68,5500,38,7609
dodge,sedan,93.7,98,102,5500,30,8558
dodge,wagon,103.3,122,88,5000,30,8921
dodge,hatchback,95.9,156,145,5000,24,12964
honda,hatchback,86.6,92,58,4800,54,6479
honda,hatchback,86.6,92,76,6000,38,6855
honda,hatchback,93.7,79,60,5500,42,5399
honda,hatchback,93.7,92,76,6000,34,6529
honda,hatchback,93.7,92,76,6000,34,7129
honda,sedan,96.5,92,76,6000,34,7295
honda,wagon,96.5,92,76,6000,34,7295
honda,hatchback,96.5,110,86,5800,33,7895
honda,hatchback,96.5,110,86,5800,33,9095
honda,sedan,96.5,110,86,5800,33,8845
honda,sedan,96.5,110,86,5800,33,10295
honda,sedan,96.5,110,101,5800,28,12945
honda,sedan,96.5,110,100,5500,31,10345
isuzu,sedan,94.3,111,78,4800,29,6785
isuzu,sedan,94.5,90,70,5400,43,8759
isuzu,sedan,94.5,90,70,5400,43,9541
isuzu,hatchback,96.0,119,90,5000,29,11048
jaguar,sedan,113.0,258,176,4750,19,32250
jaguar,sedan,113.0,258,176,4750,19,35550
jaguar,sedan,102.0,326,262,5000,17,36000
mazda,hatchback,93.1,91,68,5000,31,5195
mazda,hatchback,93.1,91,68,5000,38,6095
mazda,hatchback,93.1,91,68,5000,38,6795
mazda,sedan,93.1,91,68,5000,38,6695
mazda,sedan,93.1,91,68,5000,38,7395
mazda,hatchback,95.3,70,101,6000,23,10945
mazda,hatchback,95.3,70,101,6000,23,11845
mazda,hatchback,95.3,70,101,6000,23,13645
mazda,hatchback,95.3,80,135,6000,23,15645
mazda,hatchback,98.8,122,84,4800,32,8845
mazda,sedan,98.8,122,84,4800,32,8495
mazda,hatchback,98.8,122,84,4800,32,10595
mazda,sedan,98.8,122,84,4800,32,10245
mazda,sedan,98.8,122,64,4650,42,10795
mazda,hatchback,98.8,122,84,4800,32,11245
mazda,sedan,104.9,140,120,5000,27,18280
mazda,sedan,104.9,134,72,4200,39,18344
mercedes-benz,sedan,110.0,183,123,4350,25,25552
mercedes-benz,wagon,110.0,183,123,4350,25,28248
mercedes-benz,hardtop,106.7,183,123,4350,25,28176
mercedes-benz,sedan,115.6,183,123,4350,25,31600
mercedes-benz,sedan,115.6,234,155,4750,18,34184
mercedes-benz,convertible,96.6,234,155,4750,18,35056
